,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Q1: What kind of topics are present when discussing network simulators (NS)?,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
NS Topic name,Topic_no,Keywords,,,,,,,,,,,,,,,,
Simulation Model Configuration ,0,"['packet', 'message', 'send', 'node', 'receive', 'application', 'multiple', 'datum', 'specific', 'server', 'traffic', 'layer', 'communication', 'data', 'drop', 'rate', 'graph', 'start', 'range', 'event']",,,,,,,,,,,,,,,,
Taget Netwok Protocol modification,1,"['file', 'set', 'parameter', 'module', 'number', 'trace', 'generate', 'script', 'random', 'position', 'access', 'give', 'connection', 'show', 'execute', 'output', 'write', 'pass', 'modify', 'cc']",,,,,,,,,,,,,,,,
Simulation Model Configuration,2,"['node', 'network', 'create', 'wireless', 'simulator', 'simulate', 'omnet', 'model', 'connect', 'sensor', 'simple', 'issue', 'address', 'interface', 'mobile', 'host', 'system', 'resolve', 'point', 'location']",,,,,,,,,,,,,,,,
Simulation Model Configuration,3,"['vein', 'omnet', 'vehicle', 'sumo', 'change', 'rsu', 'car', 'scenario', 'simulation', 'speed', 'map', 'traci', 'current', 'model', 'flow', 'accident', 'exist', 'makefile', 'edge', 'tutorial']",,,,,,,,,,,,,,,,
Simulation Model performance measure,4,"['simulation', 'run', 'time', 'calculate', 'work', 'delay', 'distance', 'end', 'throughput', 'result', 'energy', 'base', 'measure', 'transmission', 'power', 'channel', 'stop', 'crash', 'record', 'ide']",,,,,,,,,,,,,,,,
NS Build error,5,"['omnet', 'inet', 'make', 'project', 'build', 'link', 'error', 'library', 'fail', 'command', 'framework', 'import', 'version', 'define', 'user', 'store', 'check', 'input', 'runtime', 'graph']",,,,,,,,,,,,,,,,
NS Installation,6,"['error', 'omnet', 'omnetpp', 'variable', 'installation', 'window', 'unable', 'read', 'problem', 'ubuntu', 'fix', 'compile', 'install', 'instal', 'building', 'vector', 'package', 'implementation', 'list', 'object']",,,,,,,,,,,,,,,,
Taget Netwok Protocol modification,7,"['implement', 'find', 'add', 'function', 'route', 'code', 'class', 'type', 'program', 'call', 'source', 'protocol', 'base', 'size', 'routing', 'method', 'path', 'miss', 'queue', 'algorithm']",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
RQ2: Which types of issues do researchers face?,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Topic,NS Topic name,number_per_topic,how,what,why,others,,topic name,number_per_topic,,how,,what,,why,,others,
0,Simulation Model Configuration ,430,244,53,5,128,,Simulation Model Configuration ,999,43.02%,566,39.09%,120,53.57%,9,34.62%,304,48.72%
1,Taget Netwok Protocol modification,305,201,26,2,76,,Taget Netwok Protocol modification,527,22.70%,341,23.55%,47,20.98%,7,26.92%,132,21.15%
2,Simulation Model Configuration,292,165,39,3,85,,NS Installation,278,11.97%,217,14.99%,13,5.80%,4,15.38%,44,7.05%
3,Simulation Model Configuration,277,157,28,1,91,,Simulation Model performance measure,276,11.89%,154,10.64%,25,11.16%,6,23.08%,91,14.58%
4,Simulation Model performance measure,276,154,25,6,91,,NS Build error,242,10.42%,170,11.74%,19,8.48%,0,0.00%,53,8.49%
5,NS Build error,242,170,19,0,53,,,2322,100.00%,1448,100.00%,224,100.00%,26,100.00%,624,100.00%
6,NS Installation,278,217,13,4,44,,,,,,,,,,,,
7,Taget Netwok Protocol modification,222,140,21,5,56,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
RQ3: Which topics are most difficult to answer?,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Popularity,,,,Difficulty,,,,,,,,,,,,
Topic,number_per_topic,score_,view_,FavCount_,AnsCount_,AccpAnsCount_,CommentCount_,Pd score,,topic name,score_,view_,FavCount_,AnsCount_,AccpAnsCount_,CommentCount_,Pd score,
0,430,0.318605,435.0209,0.24186,0.860465,0.330233,1.355814,0.07591198492,,Simulation Model Configuration ,0.37,420.52,0.28,0.90,0.35,1.26,0.10,
1,305,0.347541,723.5869,0.121311,0.934426,0.390164,1.242623,0.0539208214,,NS Build error,0.32,477.67,0.15,0.93,0.35,1.27,0.07,
2,292,0.339041,556.75,0.171233,0.873288,0.304795,1.113014,0.0547453974,,Simulation Model performance measure,0.32,488.59,0.21,0.96,0.36,1.22,0.07,
3,277,0.465704,269.7906,0.436823,0.953069,0.418773,1.306859,0.155221494,,Taget Netwok Protocol modification,0.31,634.86,0.14,0.92,0.38,1.19,0.06,
4,276,0.315217,488.587,0.206522,0.963768,0.362319,1.224638,0.07415649618,,NS Installation,0.18,602.08,0.09,0.99,0.35,1.71,0.06,
5,242,0.318182,477.6694,0.152893,0.933884,0.347107,1.272727,0.07266678586,,,,,,,,,,
6,278,0.176259,602.0827,0.086331,0.989209,0.345324,1.705036,0.05735491154,,,,,,,,,,
7,222,0.265766,546.1306,0.153153,0.90991,0.36036,1.135135,0.06598421696,,topic name,AnsCount_,AccpAnsCount_,CommentCount_,Pd score,,,,
,,,,,,,,,,NS Installation,0.99,0.35,1.71,0.057,,,,
,,,,,,,,,,Taget Netwok Protocol modification,0.92,0.38,1.19,0.060,,,,
,,,,,,,,,,NS Build error,0.93,0.35,1.27,0.073,,,,
,,,,,,,,,,Simulation Model performance measure,0.96,0.36,1.22,0.074,,,,
,,,,,,,,,,Simulation Model Configuration ,0.90,0.35,1.26,0.095,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Topic,NS Topic name,number_per_topic,how,what,why,others,,,,,,,,,,,,
0,Simulation Model Configuration ,430,244,53,5,128,,,,,,,,,,,,
1,Taget Netwok Protocol modification,305,201,26,2,76,,,,,,,,,,,,
2,Simulation Model Configuration,292,165,39,3,85,,,,,,,,,,,,
3,Simulation Model Configuration,277,157,28,1,91,,,,,,,,,,,,
4,Simulation Model performance measure,276,154,25,6,91,,,,,,,,,,,,
5,NS Build error,242,170,19,0,53,,,,,,,,,,,,
6,NS Installation,278,217,13,4,44,,,,,,,,,,,,
7,Taget Netwok Protocol modification,222,140,21,5,56,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,566,120,9,304,999,,,,,,,,,,,
,,,341,47,7,132,527,,,,,,,,,,,
,,,217,13,4,44,278,,,,,,,,,,,
,,,154,25,6,91,276,,,,,,,,,,,
,,,170,19,0,53,242,,,,,,,,,,,
,,,56.65665666,12.01201201,0.9009009009,30.43043043,,,,,,,,,,,,
,,,64.70588235,8.918406072,1.328273245,25.04743833,,,,,,,,,,,,
,,,78.05755396,4.676258993,1.438848921,15.82733813,,,,,,,,,,,,
,,,55.79710145,9.057971014,2.173913043,32.97101449,,,,,,,,,,,,
,,,70.24793388,7.851239669,0,21.90082645,,,,,,,,,,,,
,,,#DIV/0!,,,,,,,,,,,,,,,
,,,#DIV/0!,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,topic name,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,,,
,,Simulation model configuration ,2,0,1,14,22,50,64,148,181,184,153,180,,,,
,,Taget netwok protocol modification,0,0,1,13,19,38,35,79,88,102,64,88,,,,
,,NS installation,0,0,2,4,10,17,25,40,50,54,41,35,,,,
,,Simulation model performance measure,0,1,2,3,5,17,17,52,37,51,43,48,,,,
,,NS build error,0,0,1,4,9,9,9,41,42,45,25,57,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,view_,AccpAnsCount_,,,,topic name,view_,AccpAnsCount_,,,,,,,,
,,,435.0209,0.330233,,,,Simulation model configuration ,1.67,333.00,,,,,,,,
,,,723.5869,0.390164,,,,Taget netwok protocol modification,5.00,242.00,,,,,,,,
,,,556.75,0.304795,,,,NS installation,4.00,276.00,,,,,,,,
,,,269.7906,0.418773,,,,Simulation model performance measure,4.00,263.50,,,,,,,,
,,,488.587,0.362319,,,,NS build error,6.00,278.00,,,,,,,,
,,,477.6694,0.347107,,,,,,,,,,,,,,
,,,602.0827,0.345324,,,,,,,,,,,,,,
,,,546.1306,0.36036,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,topic name,view_,AccpAnsCount_,,,,,,,,,,,,
,,,,Simulation model configuration ,420.5205,0.351267,,,,,,,,,,,,
,,,,Taget netwok protocol modification,477.6694,0.347107,,,,,,,,,,,,
,,,,NS installation,488.587,0.362319,,,,,,,,,,,,
,,,,Simulation model performance measure,634.85875,0.375262,,,,,,,,,,,,
,,,,NS build error,602.0827,0.345324,,,,,,,,,,,,